# Image list with two lines of data per image: 
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME 
#   POINTS2D[] as (X, Y, POINT3D_ID) 
1 -0.858348701781 0.139189043313 0.491702502413 0.045744628944 0.219805008295 -1.118638674242 0.775805989311 1 frame_00001.png

2 -0.858177720859 0.139271878726 0.491973306351 0.045788242525 0.217377840548 -1.119056414237 0.750420622967 1 frame_00002.png

3 -0.857671514505 0.139515100366 0.492774416610 0.045917585787 0.213866670553 -1.119281402963 0.725673284705 1 frame_00003.png

4 -0.856839218812 0.139910190619 0.494088740928 0.046130579338 0.209399883545 -1.119346534223 0.701524651743 1 frame_00004.png

5 -0.855688794024 0.140447830310 0.495899028106 0.046424617760 0.204101218432 -1.119281777480 0.677932385308 1 frame_00005.png

6 -0.854227410847 0.141117924363 0.498188131895 0.046797198188 0.198089159348 -1.119116372104 0.654851864362 1 frame_00006.png

7 -0.852461178817 0.141909595447 0.500938568436 0.047245524866 0.191477928762 -1.118876511662 0.632236273799 1 frame_00007.png

8 -0.850395882152 0.142811578793 0.504132993032 0.047766528621 0.184378072016 -1.118587436068 0.610039118764 1 frame_00008.png

9 -0.848036307291 0.143812004550 0.507753972115 0.048357260616 0.176895371325 -1.118272516459 0.588213606804 1 frame_00009.png

10 -0.845387005475 0.144898710932 0.511783753086 0.049014625672 0.169169350100 -1.117948086440 0.566712629899 1 frame_00010.png

11 -0.842452287540 0.146059120107 0.516204573110 0.049735539385 0.161264703796 -1.117640118242 0.545493179370 1 frame_00011.png

12 -0.839236168319 0.147280555273 0.520998209428 0.050516654559 0.153275767971 -1.117367672100 0.524512913226 1 frame_00012.png

13 -0.835742352783 0.148550197199 0.526146567377 0.051354959525 0.145294947679 -1.117148408055 0.503731736629 1 frame_00013.png

14 -0.831974735042 0.149855208044 0.531631188433 0.052247108410 0.137412563809 -1.116998520914 0.483112599032 1 frame_00014.png

15 -0.827937235329 0.151182602084 0.537433228777 0.053190134274 0.129739278571 -1.116929994930 0.462621921735 1 frame_00015.png

16 -0.823633989926 0.152519859267 0.543534006400 0.054180697863 0.122351293403 -1.116957722570 0.442230747152 1 frame_00016.png

17 -0.819069415496 0.153854121559 0.549913986178 0.055215953184 0.115314003787 -1.117096289010 0.421911254090 1 frame_00017.png

18 -0.814248239923 0.155173222942 0.556553854735 0.056292840410 0.108705240764 -1.117356722205 0.401641417015 1 frame_00018.png

19 -0.809175553842 0.156465119355 0.563434014298 0.057408554505 0.102599675371 -1.117748662681 0.381402923244 1 frame_00019.png

20 -0.803856953443 0.157718209304 0.570534528408 0.058560424351 0.097098809699 -1.118276347456 0.361184895573 1 frame_00020.png

21 -0.798298825951 0.158921122522 0.577835196541 0.059745654826 0.092246810285 -1.118949507973 0.340975724624 1 frame_00021.png

22 -0.792507869226 0.160063370195 0.585315898723 0.060961974745 0.088100823235 -1.119774459289 0.320769468817 1 frame_00022.png

23 -0.786491639125 0.161134666399 0.592956018937 0.062206944132 0.084721307942 -1.120754388876 0.300564294494 1 frame_00023.png

24 -0.780258383862 0.162125298076 0.600735142908 0.063478336222 0.082178499832 -1.121889617173 0.280365190653 1 frame_00024.png

25 -0.773817303874 0.163026332878 0.608632445105 0.064774253546 0.080523997330 -1.123180231982 0.260178917419 1 frame_00025.png

26 -0.767177921534 0.163829682261 0.616627523576 0.066092766655 0.079790122082 -1.124626614677 0.240013266336 1 frame_00026.png

27 -0.760351185832 0.164527391539 0.624699641164 0.067432213065 0.080019682067 -1.126225681294 0.219880209531 1 frame_00027.png

28 -0.753348576631 0.165112634998 0.632828183442 0.068791176946 0.081256374979 -1.127971801459 0.199797007482 1 frame_00028.png

29 -0.746182426456 0.165579319328 0.640992758134 0.070168299053 0.083533893182 -1.129857921988 0.179782682006 1 frame_00029.png

30 -0.738866149222 0.165921766326 0.649173004143 0.071562364157 0.086871016310 -1.131876816773 0.159854026913 1 frame_00030.png

31 -0.731413867310 0.166135415405 0.657348982630 0.072972553399 0.091288595472 -1.134018883431 0.140032321189 1 frame_00031.png

32 -0.723840716454 0.166216247558 0.665501166913 0.074397991546 0.096803141952 -1.136272874354 0.120339213713 1 frame_00032.png

33 -0.716162619250 0.166160884978 0.673609879707 0.075838062695 0.103425296345 -1.138625589792 0.100796391637 1 frame_00033.png

34 -0.708396419393 0.165966912723 0.681656349056 0.077292255224 0.111160279513 -1.141062830980 0.081426040457 1 frame_00034.png

35 0.700559843748 -0.165632185905 -0.689622090724 -0.078760385989 0.120008215885 -1.143569351486 0.062248211634 1 frame_00035.png

36 0.692671210158 -0.165155934297 -0.697489315070 -0.080242326568 0.129954370619 -1.146129842535 0.043278636129 1 frame_00036.png

37 0.684749846667 -0.164537037510 -0.705240421657 -0.081738004329 0.140992882118 -1.148725402851 0.024535115863 1 frame_00037.png

38 0.676815819623 -0.163775928504 -0.712858764054 -0.083247623623 0.153113354769 -1.151337401397 0.006035290793 1 frame_00038.png

39 0.668889599903 -0.162872913133 -0.720328319468 -0.084771323970 0.166296530743 -1.153945824743 -0.012209156510 1 frame_00039.png

40 0.660992726227 -0.161829128335 -0.727633534129 -0.086309608247 0.180503852083 -1.156532707578 -0.030199015565 1 frame_00040.png

41 0.653146890232 -0.160646189980 -0.734759828503 -0.087862903109 0.195710820111 -1.159076664799 -0.047928682956 1 frame_00041.png

42 0.645374674424 -0.159325943426 -0.741693143839 -0.089431809599 0.211896299711 -1.161554767326 -0.065393015820 1 frame_00042.png

43 0.637699035783 -0.157870530116 -0.748420236205 -0.091016948557 0.229025180861 -1.163944997303 -0.082597953967 1 frame_00043.png

44 0.630143038717 -0.156282628632 -0.754928572675 -0.092618914138 0.247051730184 -1.166226019183 -0.099558546917 1 frame_00044.png

45 0.622730806115 -0.154565126118 -0.761206288226 -0.094238616201 0.265919157249 -1.168378212584 -0.116304267999 1 frame_00045.png

46 0.615486092607 -0.152720997895 -0.767242392190 -0.095876698124 0.285607102986 -1.170374706403 -0.132840883754 1 frame_00046.png

47 0.608433049044 -0.150753319699 -0.773026381188 -0.097534258053 0.306069594522 -1.172192059804 -0.149197577562 1 frame_00047.png

48 0.601596115101 -0.148665465132 -0.778548493196 -0.099211748943 0.327258958856 -1.173806565823 -0.165407945544 1 frame_00048.png

49 0.595000049638 -0.146460549362 -0.783799410594 -0.100910075751 0.349112306953 -1.175196581613 -0.181525994606 1 frame_00049.png

50 0.588669166184 -0.144141704584 -0.788770456374 -0.102630184538 0.371577289010 -1.176337393959 -0.197601834290 1 frame_00050.png

51 0.582628139055 -0.141712427603 -0.793453472423 -0.104372669870 0.394617944765 -1.177201532082 -0.213675015928 1 frame_00051.png

52 0.576901391620 -0.139175452778 -0.797840599256 -0.106138358855 0.418181724225 -1.177762572619 -0.229806625619 1 frame_00052.png

53 0.571513382101 -0.136533916197 -0.801924275856 -0.107927900994 0.442213610840 -1.177994043566 -0.246062768870 1 frame_00053.png

54 0.566488157292 -0.133790363517 -0.805697298231 -0.109741805902 0.466655291368 -1.177868464621 -0.262519655418 1 frame_00054.png

55 0.561849367560 -0.130947692604 -0.809152502238 -0.111580540736 0.491428690864 -1.177360656685 -0.279276848431 1 frame_00055.png

56 0.557620949768 -0.128007659610 -0.812282767049 -0.113444505024 0.516500665302 -1.176435695468 -0.296395901476 1 frame_00056.png

57 0.553825858819 -0.124972649710 -0.815080885611 -0.115333897731 0.541809922409 -1.175061714555 -0.313965943956 1 frame_00057.png

58 0.550487089777 -0.121843927447 -0.817539373282 -0.117248790143 0.567294301720 -1.173204367445 -0.332083038753 1 frame_00058.png

59 0.547626701434 -0.118623386574 -0.819650760042 -0.119189056144 0.592887377566 -1.170828806054 -0.350846282787 1 frame_00059.png

60 0.545266730619 -0.115311559124 -0.821406738161 -0.121154437864 0.618374131748 -1.167919263613 -0.370510212007 1 frame_00060.png

61 0.543427965539 -0.111909343098 -0.822798789410 -0.123144263336 0.641847674083 -1.162916094617 -0.375981393382 1 frame_00061.png

62 0.541924523610 -0.108570595680 -0.823931096941 -0.125170880493 0.664042810162 -1.155699832293 -0.360730462665 1 frame_00062.png

63 0.540561602991 -0.105426174228 -0.824913857218 -0.127262162809 0.682448684678 -1.148804755950 -0.343203217038 1 frame_00063.png

64 0.539346706443 -0.102440363847 -0.825745727439 -0.129440822280 0.700109644661 -1.142299812631 -0.325820781283 1 frame_00064.png

65 0.538287004406 -0.099578046294 -0.826425202402 -0.131729572910 0.716339078691 -1.136163467710 -0.308253234023 1 frame_00065.png

66 0.537389256990 -0.096802622829 -0.826949567431 -0.134150710986 0.731943089363 -1.130367228033 -0.291049828078 1 frame_00066.png

67 0.536659749334 -0.094078025551 -0.827315821370 -0.136726467842 0.747020903923 -1.124883186142 -0.274335143207 1 frame_00067.png

68 0.536104524286 -0.091367860712 -0.827520122586 -0.139478743029 0.761863823237 -1.119678640191 -0.258337780855 1 frame_00068.png

